review,sentiment
"No one should ever try to adapt a Tom Robbins book for screen. While the movie is fine and the performances are good, the dialogue, which works well reading it, is crap when spoken. Or, to put it another way, no one would be likely to suggest that hearing someone else's name was like seeing it written in radium on a pearl.<br /><br />Overall, the movie feels like a badly-adapted Cliffs Notes to the book - most of the parts have been hacked down to a fifth of their size in the book, in terms of backstory and current story, and the ending is wildly (and unpleasantly) different from that of the book. Most of the plots from the book have gotten lost, including the one that makes everything make sense at the end, and there's more than one reference that makes sense in the book that makes the viewer say ""Huh?"" Not a worthy effort, unfortunately - the script should have been read, compared to the book, burned, and all the actors sent off to do something far better. I admire Gus Van Sant tremendously, but not even someone of his calibre could have made a decent movie of such a complex book without making a miniseries.",negative
"First of all, season 1 is intolerably bad. The prison is ridiculously unrealistic, the characters are so two dimensional they're nearly transparent, and the direction is terrible. It runs like a bad video of a junior high school play, characters wandering past the camera and uttering highly timed and rehearsed lines, passing off as random prison talk. Soon the show gets better, but not by much. The return from the commercial break is always accompanied by some ridiculous monologue by wheelchair-bound Augustus Hill, who is played impressively by Harold Perrineau. The only time his character is consistently bad is during the bad performance art monologues, most of which take place in an inexplicable rotating glass cube and generally have nothing to do with what's taking place in the show.<br /><br />Unfortunately, the bad ideas in Oz could fill an encyclopedia of several volumes. Consider the whole situation, first of all. Prisoners are able to hang out in plain sight getting drunk, doing drugs, and they not only have CD players (CDs?? They might as well pass out steak knives), but all incoming mail is thoroughly examined by PRISONERS. Christ, the place is like a men's club with guards. Guards that don't do much. <br /><br />Near the end of season two, an older prisoner's grandson is diagnosed with leukemia, and all of the prisoners pitch in thick wads of $20 and $50 bills to help send him to Disneyworld to fulfill his dying wish. These have to be the richest prisoners in the world. Every single prisoner in Oz all of a sudden became caring, loving guys except Kenny Wangler, an irritating character but one of the only ones who is consistently convincing. Even Adibisi wanted to be nice. But that's okay, because there is no order or sense in the show, so even this is not much of a distraction.<br /><br />Later, shockingly, there is a boxing scene in which one inmate is wearing an ""I Love Cops"" t- shirt. In prison!! Can you imagine?? I have a cousin who was in prison a few years ago. I sent him an old picture of us with some friends in high school, and in the picture, one of my friends was holding an ""I Love Cops"" bumper sticker, and one of ""the woods"" (guys who have been in prison for years and years) saw the picture but just grabbed it and ripped it to shreds. My cousin got lucky. <br /><br />Kenny Wangler also constantly berates the guards and even more senior officers for not calling him Bricks. One of them even tried to bribe him to go to an English class. You may lose track of who is in charge, the prisoners or the guards. More than one investigator, for example, goes into the prison undercover and gets killed trying to stop the drug trade. Personally I would just stop letting prisoners inspect incoming mail rather than risk the lives of investigators. <br /><br />Let's see, what else? Shillinger's son OD's in solitary and no one thinks to ask the guard how he got the drugs. He just...got them, I guess. And make sure to pay attention, otherwise you'll miss the reason why the prisoners have enough money to be able to afford ascellular dermal grafts when they get bad gums. I didn't know guests in maximum security prisons were afforded such luxurious treatment options. How about this, when Robson asks about Dr. Faraj's schedule so he can ask what race of gums he was given, Faraj is so terrified that he goes to the warden and quits his job on the spot. Do doctors and dentists not have the right to request not to see certain prisoners? After Poet and O'Reilly make the announcement to the entire prison, Robson asks to see Dr. Faraj, and is escorted to his office, brought in without knocking, and the guard promptly leaves without a word. They might as well give him a gun.<br /><br />I shouldn't go on about stupid ideas in this show, but it's like a flood, I can't stop it. Who thought of the Chinese refugees who can't speak Chinese and who disappear en masse from sight unless they're needed? Who thought of the goofy religious wars and all the reverend prisoners? Who though of Robson's gum transplant? What's the deal with Busmalis and Agamemnon? Agamemnon because he clearly doesn't belong in prison and Busmalis because of the whole thing with his grandson. Macbeth, because it was nothing but a ridiculous means to an end, as it were. <br /><br />But what are the worst ideas? Things that go nowhere, which are constant. An Irish man comes to the prison and builds a bomb. He threatens to blow up the entire prison, the bomb turns out to be a dud, and the episode ends with him being led away by the bomb squad after the entire prison is evacuated. Nothing is ever heard from him or about the whole situation again. It's like it never happened. In one episode, prisoners are given dogs to train. What the hell?? If that wasn't bad enough, during one training session, a guard fires his gun inside the prison walls as a training exercise. No one seems to mind.<br /><br />I also like how anytime some kind of altercation breaks out, the culprits are pulled aside, they don't say anything, and the guards or warden or sister Pete or whoever always says, ""I hope you don't think I'm gonna let this go!!"" And then they walk away and let it go. The audience won't remember. <br /><br />Maybe I'm spoiled by Prison Break, but Oz is just a goofy prison drama that might be better as a play. A short one. At least a low-budget movie. There is just not enough here to sustain a multi-season TV show. Then again, I watched six seasons of it on DVD. Sometimes I don't understand myself...",negative
"This movie is about a female rape victim/comic book writer from New York that decides to get away from all that awful big city glamor and move to a dirty, run down small town where she finds refuge in a single-wide trailer on a dirt lot in the middle of 12th and nowhere. The townspeople are mentally ill, yet so is she for inviting crazy men into her trailer. Annoying is the fact that she has the ability to do exactly the right thing to place herself in dangerous circumstance after dangerous circumstance. DB Sweeney's performance was high school at best. He's one of those kinda-cute young actors with a sweet grin. Unfortunately career has not been kind and mother nature has been right in tow. To the previous commentator stating that the acting was ""so real"", well I agree. Actually it wasn't acting. The two main characters really are pathetic, weak and incapable of making mature, healthy decisions. In brief, this movie sucks like no other, rent it to laugh at it. The real crime scene? The atrocious Wood paneling in the trailer - enough to make ME commit murder. And lastly, she's a artist/writer, so couldn't she afford a double-wide trailer and something other than a sun-yellow Chevy Chevette for love of god!",negative
"I could not believe the original rating I found when i looked up this film, 9.5? Unfortunately it looks like I am not alone.<br /><br />The film, is slow and boring really, one of the sad things is that if the film had been given a realistic rating of around 5 or 6 then the expectation would not have been so high.<br /><br />Unfortunately, this was not the case, so when watching the film, and seeing the poor story and acting, I am left giving it a 3/10 score.<br /><br />Vinnie Jones is superb in Lock stock, and also Snatch, and he plays a great hard man, however, he should stick to this role. Its a bit like when Stallone and Schwarzenegger have done comedy films, they just don't work.<br /><br />Neither can he play lead actor, he plays better as supporting or otherwise. When he plays lead, his acting talents are too 'in view' and shown up as not really very good. Mean Machine is another good example of this.",negative
"I just don't know how this stupid, crap, junk, garbage & good for nothing film is a blockbuster. It was so boring with a very, very weak (or no) story-line and wasn't even a jot funny. The film was about 135 minutes of only a paragraph of story about Prem (Salman Khan) is a love guru and is helping hapless & romantic Bhaskar (Govinda) to get the girl he wants. I'm not saying that I didn't like the film because it wasn't funny or anything, I will accept a movie that is not funny but has a decent story. The only two reasons why I can say it's a super-hit are: <br /><br />1. Salman Khan & Govinda are on-screen together but there first time together was in Salaam e Ishq which was a flop so it can't be. But it was a really good movie.<br /><br />2. Salman Khan's name is Prem and all the films with that name have been a hit including Maine Pyar Kiya. So it's just luck.<br /><br />I heard that it's a remake of Hitch, I've not seen it & I'm glad I didn't. Music is OK the only good songs are Do you want a partner, You're my love & Soni De Nakhre but what is the use of it in a really bad film, that too, if you have someone like Katrina Kaif who dances with two left feet? She is completely crap. Neither she knows acting, language (her voice is always dubbed for her), dance and always fails to impress. I do not like her one bit she was even disappointing in Koffee with Karan. Overall Partner is a disposable film with a disposable actress Katrina Kaif. Its better off that she is kicked out of Bollywood and never comes back again.",negative
"John Leguizemo, a wonderful comic actor, is a New York Latino, able to get inside a myriad of characters, both male and female, to show the bizarre foibles of an ethnic group trying to cope in an alien culture. He is not, however, Italian. He doesn't look, think or behave Italian...Especially Sicilian or Calabrese, immigrant groups who live in Bensonhurst or Bayridge Brooklyn. Every scene in which he interacts with his ""Gumbas"" rings false, as though he'd wandered in from a college production of ""West Side Story"" while the other guys were doing a low-rent ""Mean Streets"". That's only one problem with this ill-conceived, mean-spirited flick. Spike blew this one big time. Btw, CBGBOMFUG means ""Country, Bluegrass, Blues and Other Music For Uplifting Gourmets [or possibly Gourmands] Ask Hilly Crystal who founded the club. <br /><br />",negative
"The Mod Squad isn't a movie, it's a void. That's the most fascinating thing about it and the thing that kept me watching  I'd never seen a film that offered absolutely nothing before. It's a film without any reason to exist whatsoever, seemingly consciously designed to appeal to no-one as if made purely as a contractual obligation to someone the studio really dislike. There is no plot, there is no characterisation, there are no set piece action scenes, there aren't even any scenes as such, just a progression of increasingly empty shots projected at 24 frames per second. I'm not talking about empty as in dumb summer blockbuster but empty as in ""We haven't got the pages yet so just point the camera at something and stop when you've got 90 minutes worth."" It makes you appreciate the 'artistic achievements' of Charlie's Angels and S.W.A.T. that much more. What it does offer is far too much of Giovanni Ribisi at his most tediously execrable doing his bastard son of a thousand morons impersonating Marlon Brando method acting routine, Michael Lerner dancing with Omar Epps and no, that's it. Oh, Clare Danes has a nice smile in one shot. And Dennis Farina has the sense to get killed off early. Genuinely the most utterly pointless film ever made, it's like L'Humanite without the jokes but, you know, for kids.",negative
"Stunning blonde Natasha Henstridge is the young, not-so-grieving widow in the mansion on the hill, telling her story to a TV reporter in Monroeville, Virginia. And among the community's well-heeled horsey-set, she's suspected of involvement in the death of her older husband. That's James Brolin, trusting as a babe-in-arms. Flashback teledrama made in Canada, based on an article that appeared in Vanity Fair magazine. It must be true! Whatever, it's far more romance than mystery, and a very familiar tale. Leggy Species star Henstridge as a gold-digging hospice nurse? It could happen, I guess. And it's good to see Brolin in a sizeable role after his titchy turn in Antwone Fisher, even if he doesn't make it to the end of the picture. The end of the picture? He doesn't even make it to the beginning of the picture. Which is why flashbacks were invented, of course.",negative
"This was only the second version of the classic story by Charles Dickens I had seen, and sadly it turned out to be one of the worst. The film opens with a quick live action piece where Simon Callow as Charles Dickens begins the story of A Christmas Carol, and then obviously it goes to animated story itself. You probably already know it, Ebenezer Scrooge is the grouchy cold-blooded businessman who refuses charity and hates Christmas. He is visited by Jacob Marley (Nicolas Cage) who warns him of the visits of the other three ghosts of Christmas Past (Jane Horrocks), Present (Sir Michael Gambon) and the silent Future/Yet To Come. After all this he obviously realises the true magic of Christmas, and promises to be nicer in future. The only changes I noticed to the story were Scrooge having mice as friends (a stupid idea), Scrooge's ex-love Belle (Kate Winslet) needing to see him to help at the orphanage, the Ghost of Christmas Present showing the two kids, ""want"" and ""ignorance"", Scrooge still gets haunted after being turned nice, and he's worried he can't keep his promise to stay nice. Also starring Rhys Ifans as Bob Cratchit, Juliet Stevenson as Mrs. Cratchit, Iain Jones as Scrooge's nephew Fred and Colin McFarlane as Fezziwig. The animation is not great quality, the actors have wasted their voices for a worthless piece of garbage. The only good thing that comes from this film is the good voice of Kate Winslet, singing the closing song ""What If"", as for the rest, it is just excruciatingly awful. Very poor!",negative
"I really wanted to like this movie. A film with zombie children getting out of a mine to kill people at night really seemed like a great idea for a horror film. Unfortunately, the film was in the bottom 3 of films played at horror fest.<br /><br />A mother and her two daughters attempt to move on after her husband/father had passed away from an illness that cost their family a lot of money. They have to adapt to their new environment. They end up struggling due to all the surroundings for different reasons.(Crazy Zombie kids go into this category) The film never gives any sentimental attachment for anyone that lives or dies, the film produces no scares or jump worthy moments, the film barely shows the children doing what they're supposed to do...Kill! With a bigger budget and a better cast this film could have hope. Until then, pass on it.<br /><br />3.5/10 actually.",negative
"I remember when I first heard about Jack Frost. I was in Video Ezy at Miranda with my family on a monthly video hiring tradition. It was at this time that I worked up the courage to venture over towards the horror section of the store. Browsing the various titles, I finally came across Jack Frost. The cover was enough to convince me that the film was beyond my viewing pleasures. Years later the film disappeared, only to be replaced with the inevitable yet unnecessary sequel. I once again ventured to the horror section and picked up the case only to come to one conclusion: the film would be scary but not intentionally.<br /><br />Jack Frost 2: Revenge Of The Killer Mutant Snowman (quite a title) follows off where it's predecessor left it. Sheriff Sam is seeking counseling after his ordeals and Jack is now in the form of anti-freeze. To escape his past, Sam and his wife head to an island hotel where he is in the company of a wide variety of slasher film stereotypes including busty female models, thick headed sports jocks and Caribbean staff. However, Jack is released from his liquid grave and is back to his icy methods. He heads over to the island and proceeds to kill anyone that would prove to have an awesome death. Only Sam can stop him.<br /><br />Let me just say that this is a straight-to-video film so it's bound to be bad. But this is terrible even in the eyes of other over the top films. The camera work is poor, using a camera that would make a soap opera look majestic. Half the actors look like they've come out of a porn shoot and the other half look like they've come out of a retirement home, but in actual fact they've actually come out of an asylum. There is an extensive use of special effects used in the film which tends to alternate between bland puppetry and CGI that can be bettered by an infant, and the death scenes are mostly off screen showing us little of what has happened to the hapless, yet deserving, victims. But the film is most memorable for it's killer one liners such as ""There's something that needs a little Christmas stuffing"" and ""I know pronounce you officially f***ing dead!"" Ultimately the whole purpose behind a film like this is to make a popcorn flick for those Friday nights of boredom and even it fails at that. To make a sequel to a film that was a poor slasher with a concept that a child would find unbelievable must've taken some nerves of steel or a total frontal lobotomy. To director Michael Cooney thanks for wasting my time. To everyone else avoid like arsenic.",negative
"Jessica is a young, virginal and very innocent girl who lives with her aunt on a remote ranch. Jessica is also a powerful psychic, capable of dowsing, retro-cognition, precognition and esp. When young and handsome Gordon Hawthorne comes to visit, he is instantly skeptical of Jessica's powers...until her skills uncover a lost wristwatch and unearth an ancient treasure chest. However, the treasure chest holds the severed head of a centuries dead satanist named Gideon Drew, whose powers are far stronger than Jessica's. Despite her warnings of the evil in their midst, Drew manages to mentally enslave everyone unfortunate to make eye contact with him. But Drew wants Jessica most of all. He needs her dowsing skills to unearth his body, so that he can rise from the dead and rule over the human race. Will Jessica's powerful fleur de lis, combined with Gordon's love, ward the ancient evil off before it can destroy them all?<br /><br />This isn't a very interesting movie. It certainly could have been - the basic story is interesting and imaginative, but the acting is leaden and the whole thing moves much too slowly to hold interest. Jessica is also too innocent - almost annoyingly so, and Gordon, her love interest, is wooden, stiff and totally emotionless. None of the characters are very likable, and the low budget is painfully obvious. A rushed ending also doesn't help matters. Avoid, unless it's the MST3K version.",negative
"This is the kind of movie that BEGS to be shown on TV at 3 or 4 in the morning, if at all.<br /><br />No doubt the film-makers responsible for ""Attack of the 50 Foot Woman"" thought they were making a pertinent statement about women and philandering and the dangers of the demon rum, all wrapped up in a sci-fi allegory. <br /><br />Or maybe it was a tax write-off.<br /><br />Either way, ""Attack"" proves best for the viewer under the following circumstances: a) extreme intoxication, b) seen on a double-bill with any of those Jacqueline Suzanne movies (maybe ""Once is Not Enough""?) or c) just a night when you feel insecure and the world around you is a little too perfect. Pop in ""Attack"" and you'll feel great, guaranteed!<br /><br />It's good for a laugh at the expense of the hokey script, the rubbery special FX and that four-eyed sheriff. And I think the last line should be engraved in a monument somewhere in Washington D.C. - it's just that memorable.<br /><br />Four stars for ""Attack of the 50 Foot Woman""; buy a copy, mail it to Gloria Steinem - she'll love you for it.",negative
"Recension: Angels & Demons<br /><br />The movie is directed by Ron Howard. He has had also made famous movies like The Da Vinci Code & Cinderella Men. He directed also the famous TV-series 24. The most famous actors are Tom Hanks(The Da Vinci Code,The Green Mile, Forrest Gump,) & Ewan McGregor(Cassandra's Dream, Moulin Rouge, Star Wars: The Phantom Menace,).<br /><br />In the begin I was shocked because they changed the beginning from the movie so big. Because they changed the father of Vittoria Vettra(Ayelet Zurer) in someone else, Silvano Bentivoglio(Camren Argenziano). Another Change is that Robert Langdon(Tom Hanks) never goes to the CERN. It was nice that they could film on location in the CERN.<br /><br />Then movie goes on, They are spectacular car races in Rome. An I also like the part in Chirstian Archives very much when they destroy the work of Galileo, it was funny. It was also funny that they where locked in the archives the second time they get in, Robert Langdon destroyed half of the archives and when they bust out, the electricity get on<br /><br />I found It very stupid that Robert Langdon not went in the helicopter, but that the Camerlengo(Ewan McGregor) gets in alone, another detail is that in the movie the Camerlengo is an adopted son from the pope. In the book He is the real Son of the pope.<br /><br />When I should give the best acting performance then I should say Pierfrancesco Favino who plays inspector Olivetti. The worst acting was from the assassin, who was played by Nikolaj Lie Kaas, I think he was underachieving, because in Adams Apples he played Faboulous.<br /><br />I think the whole movie is underachieving because director Ron Howard made some many stupid changes. I would rate the movie by 4/10.",negative
"My tolerance for shlocky direction was overwhelmed by some of the choices in this could-be-really-good time-waster.<br /><br />When the ""romantic"" intervals were of a nature to take me out of the story and into ""How-and-why-did-the-movie-maker-do-/that/?"" mode, you got to figure something is missing in there; restraint and tastefulness, I think.<br /><br />Brian Brown is a capable, empathetic actor - usually. I think he didn't like the project or the people, and it shows. I don't remember anything the other guy did. Can't even picture his face.<br /><br />On the other hand, it doesn't have to be any good to be entertaining; some of the vignettes and twists are fun and even ingenious.<br /><br />I watched this movie ($2.00 purchase at the vid rental place) against the advice of the screenwriter; I understand he was tempted to remove his name from the credits. Matter of pride, I bet.",negative
"This self proclaimed ""very talented artist"" have directed easily the worst Spanish film of the 21st century. Lack of emotion, coherence, rhythm, skills, humor... it repeats the same situation over and over again. It shows no character development. It does not even show any violent and/or sexual content, and it does not add anything new to the psycho-killer sub genre. So lame it should be shown at film schools as an example of ""what not to do"" in a first movie.<br /><br />BTW where the hell is the ""talent""? there are scenes which have been shot almost identically; there are scenes which have two or more master shots and it is quite awful to see the action jumping from one master shot to another without a reason. The camera almost never moves, as if the ""very talented artist"" was afraid of showing his lack of visual skills. The actors playing the main roles act like amateurs, and the supporting cast is hardly believable. There are more holes than plot in the script (if ever there was one)...<br /><br />A really disheartening movie, and a whatsoever talented director.",negative
"okay, this movie f*ck in' rules. it is without question one of the most technically inept pieces of cinema ever made. absolutely terrible, but you GOTTA see it. rent this with your buddies and come up with a drinking game or just have fun, it's hilarious. and the behind-the-scenes featurette proves it, you can do anything with paper plates and finger paint. awesome. okay, rent it just for this one scene: two characters are actually WALKING IN PLACE for about 3 minutes in a shot. the director (on the commentary) says ""yeah, the tracking was so smooth it looks like they're..."". yeah, right man, they are totally walking in place. it's so funny.",negative
"There is no real story the film seems more like a fly on the wall drama-documentary than a proper film so this piece may in itself be a spoiler. Teen drama about 3 young Singaporean kids (very similar to UK chavs) who play truant from school, run with gangs, get into fights, insult people on the street, get tattoos, hang about doing nothing, etc. etc, They generally imagine themselves to be hard and every so often shout challenging rap chants into the camera. Filmed in MTV style, fast cuts, crazy camera angles, tight close ups and animation interludes. The dialogue might have been crisper in the original languages of Mandarin and Hokkien than in the subtitles and I have no doubt that some of the contemporary Singapore references will slip over Western heads as well as the cultural and political context unless of course you are familiar with Singapore. This kind of teen film may be a first for Singapore but it has been done before and done better in other Western countries, La Haine (1995) for example.",negative
"This film takes a lot of liberties with the known historical facts.Even little things like Flynn licking one stamp after another, when he almost certainly would have used a moistened sponge, is one of the annoying things. Flynn was never tried of manslaughter or murder. He is not known to have caught his mother making love to another man, and is not known to have had an homosexual relationship with anybody, and he did not end up on skid row in Sydney. He did not get his twopenny-halfpenny role in In the Wake of the Bounty by imposture and this role did not turn him into a well-dressed film star. <br /><br />This is just a mediocre film where the name of Errol Flynn has been tacked on just to sell more tickets and more videos.",negative
